id;mil_locationname;mil_type;mil_activity;mil_activitycode;kvk_businessnumber;kvk_activitycode;kvk_activity;bag_number;bag_usage;vest_name;vest_activity;vest_activitycode;vest_employeescode;woz_number;woz_usage;woz_size_normalized;longitude;latitude
1;Bedrijf 1;Type B;471;Supermarkten, warenhuizen;kvk-1;4711;Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen;bag-1;winkelfunctie;Bedrijf 1;Supermarkten en dergelijke winkels met een algemeen assort.;4711;6;woz-1;Supermarkt/warenhuis;2255;5.449275304;51.4453518
2;Bedrijf 2;Type B;5221.1;Autoparkeerterreinen, parkeergarages;kvk-2;6831;Bemiddeling bij handel, huur of verhuur van onroerend goed;bag-2;kantoorfunctie;Bedrijf 2;Ingenieurs en overig technisch ontwerp en advies;7112;7;woz-2;Kantoor;1564;5.509236332;51.42868233
3;Bedrijf 3;niet Wm;NA;NA;kvk-3;78201;Uitzendbureaus;bag-3;kantoorfunctie;Bedrijf 3;Uitzendbureaus;78201;3;woz-3;Cafe/bar/restaurant;90;5.527106665;51.4398707
4;Bedrijf 4;Type B;451, 452, 454;Handel in autos en motorfietsen, reparatie- en servicebedrijven;kvk-4;6420;Financiële holdings;bag-4;industriefunctie;Bedrijf 4;Reparatie van specifieke auto-onderdelen;45203;3;woz-4;opslag/distributie;550;5.457610611;51.44861416
5;Bedrijf 5;Type B;471;Supermarkten, warenhuizen;kvk-5;4711;Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen;bag-5;winkelfunctie;Bedrijf 5;Supermarkten en dergelijke winkels met een algemeen assort.;4711;5;woz-5;Supermarkt/warenhuis;1549;5.485921254;51.47496654
6;Bedrijf 6;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-6;56101;Restaurants;bag-6;bijeenkomstfunctie;Bedrijf 6;Niet-gespecialiseerde groothandel in consumentenartikelen;46901;3;woz-6;Horeca in winkelpand;90;5.455735404;51.47271684
7;Bedrijf 7;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-7;5630;Cafés;bag-7;winkelfunctie;Bedrijf 7;Cafés;5630;4;woz-7;Horeca in winkelpand;190;5.459298781;51.40770979
8;Bedrijf 8;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-8;56101;Restaurants;bag-8;winkelfunctie;Bedrijf 8;Restaurants;56101;3;woz-8;Winkel;195;5.452874772;51.47080065
9;Bedrijf 9;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-9;56101;Restaurants;bag-9;bijeenkomstfunctie;Bedrijf 9;Restaurants;56101;3;woz-9;Horeca in winkelpand;161;5.484431636;51.46683387
10;Bedrijf 10;Type B;852, 8531;Scholen voor basis- en algemeen voortgezet onderwijs;kvk-10;94997;Overige belangenbehartiging n.e.g.;bag-10;kantoorfunctie, onderwijsfunctie, sportfunctie;Bedrijf 10;Studiebegeleiding, vorming en onderwijs (rest);85599;8;woz-10;overig onderwijs;0;5.453042789;51.45092664
11;Bedrijf 11;Type B;466, 469;Overige grth (bedrijfsmeubels, emballage, vakbenodigdheden e.d.;kvk-11;43222;Installatie van verwarmings- en luchtbehandelingsapparatuur;bag-11;industriefunctie;Bedrijf 11;Installatie van verwarmings- en luchtbehandelingsapparatuur;43222;4;woz-11;Productie (fabriek);200;5.477855834;51.44101832
12;Bedrijf 12;niet Wm;NA;NA;kvk-12;NA;NA;bag-12;woonfunctie;Bedrijf 12;NA;NA;NA;woz-12;Onbekend;0;5.461897513;51.44347508
13;Bedrijf 13;Type B;941, 942;Bedrijfs- en werknemersorganisaties (kantoren);kvk-13;9492;Politieke organisaties;bag-13;kantoorfunctie;Bedrijf 13;Algemeen overheidsbestuur;8411;6;woz-13;Kantoor;15984;5.524293342;51.44571409
14;Bedrijf 14;Type B;84.A;Openbaar bestuur (kantoren e.d.);kvk-14;68204;Verhuur van onroerend goed (niet van woonruimte);bag-14;kantoorfunctie;Bedrijf 14;Algemeen overheidsbestuur;8411;10;woz-14;Kantoor;11187;5.415841433;51.48265816
15;Bedrijf 15;Type B;563.1;Cafés, bars;kvk-15;5630;Cafés;bag-15;bijeenkomstfunctie;Bedrijf 15;Cafés;5630;2;woz-15;Bar/dancing;899;5.485286108;51.42166949
16;Bedrijf 16;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-16;56102;Cafetarias, lunchrooms, snackbars, eetkramen e.d.;bag-16;winkelfunctie;Bedrijf 16;Restaurants;56101;2;woz-16;Winkel;53;5.393598627;51.45866522
17;Bedrijf 17;Type A;9200;Casinos;kvk-17;NA;NA;bag-17;bijeenkomstfunctie;Bedrijf 17;Exploitatie van amusements- en speelautomaten;92009;5;woz-17;Horeca in winkelpand;624;5.417225932;51.43936691
18;Bedrijf 18;Type B;451, 452, 454;Handel in autos en motorfietsen, reparatie- en servicebedrijven;kvk-18;45112;Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe);bag-18;industriefunctie;Bedrijf 18;Handel in en reparatie van personenautos en bedrijfsautos;45112;2;woz-18;Onderhoud/reparatie;601;5.489967819;51.42555049
19;Bedrijf 19;niet Wm;NA;NA;kvk-19;NA;NA;bag-19;woonfunctie;Bedrijf 19;NA;NA;NA;woz-19;Onbekend;0;5.44460452;51.47807904
20;Bedrijf 20;Type B;931.Fa;Tennisbanen (met verlichting);kvk-20;5629;Kantines en contractcatering;bag-20;sportfunctie;Bedrijf 20;Kantines en contractcatering;5629;3;woz-20;Tennisbaan;0;5.447111504;51.433752
21;Bedrijf 21;Type B;25;vorkheftrucks, elektrisch;kvk-21;53202;Koeriers;bag-21;industriefunctie;Bedrijf 21;Reclamebureaus;7311;1;woz-21;opslag/distributie;477;5.490802978;51.441804
22;Bedrijf 22;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-22;NA;NA;bag-22;bijeenkomstfunctie;Bedrijf 22;Restaurants;56101;4;woz-22;Cafe/bar/restaurant;1612;5.459973245;51.4812566
23;Bedrijf 23;Type B;931.Ga;Veldsportcomplex (met verlichting);kvk-23;93124;Tennis;bag-23;bijeenkomstfunctie;Bedrijf 23;NA;NA;NA;woz-23;Kantine;0;5.487864767;51.45471061
24;Bedrijf 24;Type B;931.Ga;Veldsportcomplex (met verlichting);kvk-24;93121;Veldvoetbal;bag-24;bijeenkomstfunctie;Bedrijf 24;Praktijken van fysiotherapeuten;86912;3;woz-24;Clubhuis;0;5.42278379;51.48390971
25;Bedrijf 25;Type B;563.1;Cafés, bars;kvk-25;NA;NA;bag-25;bijeenkomstfunctie;Bedrijf 25;NA;NA;NA;woz-25;Bar/dancing;184;5.489275084;51.42410906
26;Bedrijf 26;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-26;5630;Cafés;bag-26;bijeenkomstfunctie;Bedrijf 26;Cafés;5630;2;woz-26;Cafe/bar/restaurant;100;5.463297055;51.45180296
27;Bedrijf 27;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-27;94991;Gezelligheidsverenigingen;bag-27;kantoorfunctie;Bedrijf 27;NA;NA;NA;woz-27;(solitair) Kantoor;360;5.48215965;51.43618578
28;Bedrijf 28;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-28;56102;Cafetarias, lunchrooms, snackbars, eetkramen e.d.;bag-28;bijeenkomstfunctie;Bedrijf 28;Cafetarias, lunchrooms, snackbars, ijssalons, eetkramen e.d;56102;4;woz-28;Bar/dancing;203;5.40163058;51.45355044
29;Bedrijf 29;Type A;9491;Kerkgebouwen e.d.;kvk-29;88992;Maatschappelijk werk;bag-29;bijeenkomstfunctie;Bedrijf 29;Religieuze organisaties;94911;3;woz-29;Overige religieuze gebouwen;0;5.4790113;51.43601357
30;Bedrijf 30;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-30;NA;NA;bag-30;bijeenkomstfunctie;Bedrijf 30;Cafetarias, lunchrooms, snackbars, ijssalons, eetkramen e.d;56102;4;woz-30;Cafetaria/snackbar;270;5.421228513;51.47825016
31;Bedrijf 31;Type B;563.1;Cafés, bars;kvk-31;5630;Cafés;bag-31;bijeenkomstfunctie;Bedrijf 31;Cafés;5630;3;woz-31;Cafe/bar/restaurant;145;5.472481352;51.45123966
32;Bedrijf 32;Type B;563.1;Cafés, bars;kvk-32;5630;Cafés;bag-32;bijeenkomstfunctie;Bedrijf 32;Cafés;5630;3;woz-32;Cafe/bar/restaurant;393;5.474926706;51.46812628
33;Bedrijf 33;Type B;563.1;Cafés, bars;kvk-33;5630;Cafés;bag-33;bijeenkomstfunctie;Bedrijf 33;Cafés;5630;3;woz-33;Cafe/bar/restaurant;162;5.49436151;51.47020876
34;Bedrijf 34;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-34;NA;NA;bag-34;woonfunctie, bijeenkomstfunctie;Bedrijf 34;NA;NA;NA;woz-34;Cafe/bar/restaurant;160;5.450502138;51.41102959
35;Bedrijf 35;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-35;56102;Cafetarias, lunchrooms, snackbars, eetkramen e.d.;bag-35;bijeenkomstfunctie;Bedrijf 35;Cafetarias, lunchrooms, snackbars, ijssalons, eetkramen e.d;56102;2;woz-35;Cafe/bar/restaurant;154;5.474834656;51.47096115
36;Bedrijf 36;niet Wm;NA;NA;kvk-36;NA;NA;bag-36;industriefunctie;Bedrijf 36;NA;NA;NA;woz-36;bedrijven;200;5.461953068;51.42395213
37;Bedrijf 37;Type B;451, 452, 454;Handel in autos en motorfietsen, reparatie- en servicebedrijven;kvk-37;53202;Koeriers;bag-37;industriefunctie, kantoorfunctie;Bedrijf 37;NA;NA;NA;woz-37;bedrijven;192;5.524301421;51.45260628
38;Bedrijf 38;niet Wm;NA;NA;kvk-38;NA;NA;bag-38;woonfunctie;Bedrijf 38;NA;NA;NA;woz-38;Onbekend;0;5.481022426;51.44410949
39;Bedrijf 39;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-39;56101;Restaurants;bag-39;bijeenkomstfunctie;Bedrijf 39;Restaurants;56101;3;woz-39;Cafe/bar/restaurant;210;5.439798748;51.47705953
40;Bedrijf 40;Type B;162;Timmerwerkfabrieken, vervaardiging overige artikelen van hout;kvk-40;4110;Projectontwikkeling;bag-40;industriefunctie;Bedrijf 40;NA;NA;NA;woz-40;opslag/distributie;981;5.480336384;51.4175075
41;Bedrijf 41;Type A;941, 942;Bedrijfs- en werknemersorganisaties (kantoren);kvk-41;6420;Financiële holdings;bag-41;kantoorfunctie;Bedrijf 41;Deurwaarderskantoren;69104;8;woz-41;Kantoor;1892;5.431674045;51.42128559
42;Bedrijf 42;Type A;261, 263, 264, 331;Vervaardiging van audio-, video- en telecom-apparatuur e.d. incl. reparatie;kvk-42;6420;Financiële holdings;bag-42;industriefunctie;Bedrijf 42;Organisatie-adviesbureaus;70221;5;woz-42;Productie (fabriek);1095;5.457229253;51.44818407
43;Bedrijf 43;Type B;2562, 3311.1;Overige metaalbewerkende industrie;kvk-43;2562;Algemene metaalbewerking;bag-43;industriefunctie;Bedrijf 43;NA;NA;NA;woz-43;Productie (fabriek);880;5.443914341;51.47633074
44;Bedrijf 44;niet Wm;NA;NA;kvk-44;93141;Individuele zaalsport;bag-44;industriefunctie;Bedrijf 44;NA;NA;NA;woz-44;opslag/distributie;298;5.433194767;51.42833425
45;Bedrijf 45;Type A;9609.B;Persoonlijke dienstverlening n.e.g.;kvk-45;46742;Groothandel in verwarmingsapparaten;bag-45;industriefunctie;Bedrijf 45;NA;NA;NA;woz-45;opslag/distributie;285;5.439024412;51.43728747
46;Bedrijf 46;Type B;259, 331.Bb;"Overige metaalwarenfabrieken n.e.g.; inpandig, p.o. <200 m2";kvk-46;2572;Vervaardiging van hang- en sluitwerk;bag-46;industriefunctie, kantoorfunctie;Bedrijf 46;Vervaardiging van hang- en sluitwerk;2572;4;woz-46;opslag/distributie;684;5.431172572;51.42241701
47;Bedrijf 47;Type A;25;vorkheftrucks, elektrisch;kvk-47;6420;Financiële holdings;bag-47;industriefunctie;Bedrijf 47;Afwerking van vloeren en wanden;4333;3;woz-47;opslag/distributie;683;5.524301421;51.45260628
48;Bedrijf 48;Type B;451, 452, 454;Handel in autos en motorfietsen, reparatie- en servicebedrijven;kvk-48;45192;Handel in en reparatie van zwaardere bedrijfsautos (geen import van nieuwe);bag-48;industriefunctie, winkelfunctie;Bedrijf 48;Handel in en reparatie van zwaardere bedrijfsautos;45192;6;woz-48;bedrijven;4173;5.479504337;51.44409975
49;Bedrijf 49;Type A;NA;NA;kvk-49;5629;Kantines en contractcatering;bag-49;sportfunctie;Bedrijf 49;Sporthallen, sportzalen en gymzalen;93112;2;woz-49;Sporthal/sportzaal;0;5.458638808;51.4583709
50;Bedrijf 50;niet Wm;493b;Taxibedrijven, taxistandplaatsen;kvk-50;NA;NA;bag-50;woonfunctie;Bedrijf 50;Vervoer per taxi;4932;2;woz-50;Onbekend;0;5.430522359;51.42494017
51;Bedrijf 51;niet Wm;45204.C;Autospuitinrichtingen;kvk-51;NA;NA;bag-51;industriefunctie;Bedrijf 51;NA;NA;NA;woz-51;Productie (fabriek);154;5.492908573;51.43848791
52;Bedrijf 52;Type B;85521;Dansscholen;kvk-52;85521;Dansscholen;bag-52;industriefunctie;Bedrijf 52;Dansscholen;85521;3;woz-52;bedrijven;398;5.478677993;51.43719173
53;Bedrijf 53;Type A;952;Reparatie t.b.v. particulieren (excl. autos en motorfietsen);kvk-53;6420;Financiële holdings;bag-53;industriefunctie;Bedrijf 53;Installatie van machines voor algemeen gebruik;33221;4;woz-53;opslag/distributie;267;5.429816307;51.43717074
54;Bedrijf 54;Type A;NA;NA;kvk-54;47741;Winkels in drogisterij-artikelen;bag-54;winkelfunctie;Bedrijf 54;Winkels in drogisterij-artikelen;47741;3;woz-54;Winkel;276;5.483423788;51.43170797
55;Bedrijf 55;Type B;63,69-71,73,74,77,78;Overige zakelijke dienstverlening: kantoren;kvk-55;46769;Groothandel in overige intermediaire producten n.e.g.;bag-55;industriefunctie;Bedrijf 55;NA;NA;NA;woz-55;bedrijven;1507;5.471614728;51.43865727
56;Bedrijf 56;Type C;931.Eb;Autocircuits, motorcrossterreinen e.d., >=8 uur/week in gebruik;kvk-56;NA;NA;bag-56;sportfunctie;Bedrijf 56;NA;NA;NA;woz-56;Sportterrein;0;5.486450394;51.473753
57;Bedrijf 57;niet Wm;NA;NA;kvk-57;4332;Bouwtimmeren;bag-57;kantoorfunctie;Bedrijf 57;Groothandel in elektronische en telecommunicatieapparatuur;4652;4;woz-57;Kantoor;688;5.472065554;51.45252279
58;Bedrijf 58;Type B;46721.1;Grth in metaalertsen:- opslag opp. < 2.000 m2;kvk-58;3314;Reparatie van elektrische apparatuur;bag-58;industriefunctie;Bedrijf 58;NA;NA;NA;woz-58;Productie (fabriek);795;5.492829499;51.42004439
59;Bedrijf 59;Type A;NA;NA;kvk-59;96022;Schoonheidsverzorging, pedicures en manicures;bag-59;winkelfunctie;Bedrijf 59;Schoonheidsverzorging, pedicures en manicures;96022;3;woz-59;Winkel;60;5.485132339;51.43010409
60;Bedrijf 60;Type B;16.4;Dienstverlening t.b.v. de landbouw:- plantsoenendiensten en hoveniersbedrijven: b.o. <= 500 m;kvk-60;NA;NA;bag-60;bijeenkomstfunctie;Bedrijf 60;NA;NA;NA;woz-60;Onbekend;0;5.515466733;51.44291679
61;Bedrijf 61;Type B;563.1;Cafés, bars;kvk-61;7112;Ingenieurs en overig technisch ontwerp en advies;bag-61;bijeenkomstfunctie;Bedrijf 61;Restaurants;56101;5;woz-61;Horeca;984;5.438842807;51.43351195
62;Bedrijf 62;niet Wm;NA;NA;kvk-62;NA;NA;bag-62;bijeenkomstfunctie;Bedrijf 62;NA;NA;NA;woz-62;wijk-/buurtcentrum;0;5.453457867;51.45147545
63;Bedrijf 63;Type B;471;Supermarkten, warenhuizen;kvk-63;4711;Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen;bag-63;winkelfunctie;Bedrijf 63;Supermarkten en dergelijke winkels met een algemeen assort.;4711;6;woz-63;Supermarkt/warenhuis;1183;5.470168799;51.44562868
64;Bedrijf 64;Type B;4638, 4639;Grth in overige voedings- en genotmiddelen;kvk-64;6420;Financiële holdings;bag-64;industriefunctie;Bedrijf 64;Detailhandel via overige distributievormen;47999;7;woz-64;opslag/distributie;4352;5.394224001;51.45795863
65;Bedrijf 65;Type C;5.2;Gevaarlijke stoffen (incl. bestrijdingsmiddelen) in emballage of in gasflessen:- beperkte hoeveelheden (< 150 ton)  en hoog beschermingsniveau;kvk-65;4311;Slopen van bouwwerken;bag-65;industriefunctie;Bedrijf 65;Slopen van bouwwerken;4311;7;woz-65;Productie (fabriek);5388;5.452083537;51.43440302
66;Bedrijf 66;Type A;63,69-71,73,74,77,78;Overige zakelijke dienstverlening: kantoren;kvk-66;70221;Organisatie-adviesbureaus;bag-66;industriefunctie;Bedrijf 66;Organisatie-adviesbureaus;70221;3;woz-66;Productie (fabriek);314;5.436980699;51.43684073
67;Bedrijf 67;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-67;56101;Restaurants;bag-67;bijeenkomstfunctie;Bedrijf 67;Restaurants;56101;1;woz-67;Horeca in winkelpand;250;5.393671622;51.45601052
68;Bedrijf 68;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-68;56102;Cafetarias, lunchrooms, snackbars, eetkramen e.d.;bag-68;winkelfunctie;Bedrijf 68;Cafetarias, lunchrooms, snackbars, ijssalons, eetkramen e.d;56102;2;woz-68;Winkel;60;5.458370449;51.44215685
69;Bedrijf 69;Type B;NA;NA;kvk-69;56102;Cafetarias, lunchrooms, snackbars, eetkramen e.d.;bag-69;bijeenkomstfunctie;Bedrijf 69;Cafetarias, lunchrooms, snackbars, ijssalons, eetkramen e.d;56102;3;woz-69;Horeca in winkelpand;77;5.473607587;51.44957993
70;Bedrijf 70;Type B;563.1;Cafés, bars;kvk-70;NA;NA;bag-70;bijeenkomstfunctie;Bedrijf 70;NA;NA;NA;woz-70;Horeca in winkelpand;101;5.493789837;51.48982992
71;Bedrijf 71;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-71;90041;Theaters en schouwburgen;bag-71;bijeenkomstfunctie;Bedrijf 71;NA;NA;NA;woz-71;Overig cultureel;0;5.457721294;51.47797405
72;Bedrijf 72;Type B;563.1;Cafés, bars;kvk-72;5630;Cafés;bag-72;bijeenkomstfunctie;Bedrijf 72;NA;NA;NA;woz-72;Cafe/bar/restaurant;223;5.472814012;51.44420734
73;Bedrijf 73;Type B;563.1;Cafés, bars;kvk-73;5630;Cafés;bag-73;woonfunctie, bijeenkomstfunctie;Bedrijf 73;Cafés;5630;3;woz-73;Cafe/bar/restaurant;363;5.470989582;51.44814563
74;Bedrijf 74;Type A;NA;NA;kvk-74;96021;Haarverzorging;bag-74;kantoorfunctie;Bedrijf 74;NA;NA;NA;woz-74;Winkel;104;5.472692865;51.44425847
75;Bedrijf 75;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-75;56101;Restaurants;bag-75;bijeenkomstfunctie;Bedrijf 75;Restaurants;56101;3;woz-75;Horeca in winkelpand;105;5.504976363;51.41937882
76;Bedrijf 76;Type B;45204.B;Autobeklederijen;kvk-76;45204;Carrosserieherstel;bag-76;woonfunctie;Bedrijf 76;Carrosserieherstel;45204;2;woz-76;Onbekend;0;5.471354065;51.43868134
77;Bedrijf 77;Type B;4778;Detailhandel in vuurwerk tot 10 ton verpakt;kvk-77;NA;NA;bag-77;winkelfunctie;Bedrijf 77;NA;NA;NA;woz-77;Winkel;344;5.474646843;51.44851273
78;Bedrijf 78;Type B;471;Supermarkten, warenhuizen;kvk-78;47789;Winkels gespecialiseerd in overige artikelen n.e.g.;bag-78;winkelfunctie;Bedrijf 78;Warenhuizen;47191;9;woz-78;Supermarkt/warenhuis;18114;5.504218938;51.44379698
79;Bedrijf 79;Type A;451, 452, 454;Handel in autos en motorfietsen, reparatie- en servicebedrijven;kvk-79;NA;NA;bag-79;sportfunctie;Bedrijf 79;NA;NA;NA;woz-79;Onbekend;0;5.442095448;51.4758862
80;Bedrijf 80;Type B;8621, 8622, 8623;Artsenpraktijken, klinieken en dagverblijven;kvk-80;86231;Praktijken van tandartsen;bag-80;gezondheidszorgfunctie;Bedrijf 80;Praktijken van tandartsen;86231;4;woz-80;Praktijkruimte;292;5.479027046;51.43955347
81;Bedrijf 81;Type A;47.A;Detailhandel voor zover n.e.g.;kvk-81;NA;NA;bag-81;winkelfunctie;Bedrijf 81;NA;NA;NA;woz-81;Onbekend;0;5.497377785;51.42405491
82;Bedrijf 82;Type B;466, 469;Overige grth (bedrijfsmeubels, emballage, vakbenodigdheden e.d.;kvk-82;46732;Groothandel in verf en verfwaren;bag-82;winkelfunctie;Bedrijf 82;Niet-gespecialiseerde groothandel in niet-consumentenartikel;46902;4;woz-82;Winkel;1226;5.401043176;51.4506959
83;Bedrijf 83;niet Wm;NA;NA;kvk-83;69204;Belastingconsulenten;bag-83;kantoorfunctie;Bedrijf 83;Assurantietussenpersonen;6622;3;woz-83;Winkel;138;5.481150008;51.44148213
84;Bedrijf 84;Type B;94991.A;Buurt- en clubhuizen;kvk-84;85522;Kunstzinnige vorming van amateurs (geen dansscholen);bag-84;bijeenkomstfunctie;Bedrijf 84;Lokaal welzijnswerk;88993;2;woz-84;wijk-/buurtcentrum;0;5.454238493;51.44140017
85;Bedrijf 85;Type A;96013.B;Wasserettes, wassalons;kvk-85;NA;NA;bag-85;woonfunctie, winkelfunctie;Bedrijf 85;Wassalons en -verzendinrichtingen;96013;2;woz-85;Winkel;72;5.419175782;51.47988624
86;Bedrijf 86;Type A;47.A;Detailhandel voor zover n.e.g.;kvk-86;6420;Financiële holdings;bag-86;winkelfunctie;Bedrijf 86;Winkels in artikelen voor woninginrichting algemeen ass.;47593;4;woz-86;Toonzaal;977;5.468441875;51.42955984
87;Bedrijf 87;Type A;852, 8531;Scholen voor basis- en algemeen voortgezet onderwijs;kvk-87;85202;Speciaal basisonderwijs;bag-87;onderwijsfunctie;Bedrijf 87;Speciaal basisonderwijs;85202;5;woz-87;speciaal onderwijs;0;5.488049408;51.43411646
88;Bedrijf 88;niet Wm;NA;NA;kvk-88;NA;NA;bag-88;woonfunctie;Bedrijf 88;NA;NA;NA;woz-88;Onbekend;0;5.485763831;51.42264249
89;Bedrijf 89;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-89;5630;Cafés;bag-89;bijeenkomstfunctie;Bedrijf 89;Cafés;5630;3;woz-89;Cafe/bar/restaurant;760;5.429952744;51.43704597
90;Bedrijf 90;Type C;381.B;Gemeentewerven (afval-inzameldepots);kvk-90;NA;NA;bag-90;industriefunctie;Bedrijf 90;NA;NA;NA;woz-90;opslag/distributie;755;5.473512583;51.44394856
91;Bedrijf 91;Type A;952;Reparatie t.b.v. particulieren (excl. autos en motorfietsen);kvk-91;4618;Handelsbemiddeling gespecialiseerd in overige goederen;bag-91;winkelfunctie;Bedrijf 91;Handelsbemiddeling gespecialiseerd in overige goederen;4618;3;woz-91;Winkel;548;5.454870318;51.43635962
92;Bedrijf 92;Type B;5221.1;Autoparkeerterreinen, parkeergarages;kvk-92;16231;Vervaardiging van deuren, ramen en kozijnen van hout;bag-92;industriefunctie;Bedrijf 92;Vervaardiging van deuren, ramen en kozijnen van hout;16231;4;woz-92;opslag/distributie;1242;5.480842502;51.47863314
93;Bedrijf 93;Type B;3099;Transportmiddelenindustrie n.e.g.;kvk-93;17211;Vervaardiging van verpakkingsmiddelen van papier en karton;bag-93;industriefunctie, kantoorfunctie;Bedrijf 93;Vervaardiging van verpakkingsmiddelen van papier en karton;17211;7;woz-93;opslag/distributie;4387;5.4984965;51.46608419
94;Bedrijf 94;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-94;47718;Textielsupermarkten;bag-94;winkelfunctie;Bedrijf 94;Supermarkten en dergelijke winkels met een algemeen assort.;4711;6;woz-94;Supermarkt/warenhuis;1063;5.478931272;51.43998787
95;Bedrijf 95;niet Wm;NA;NA;kvk-95;47718;Textielsupermarkten;bag-95;winkelfunctie;Bedrijf 95;Supermarkten en dergelijke winkels met een algemeen assort.;4711;6;woz-95;Supermarkt/warenhuis;1063;5.476425155;51.4687861
96;Bedrijf 96;Type B;NA;NA;kvk-96;47718;Textielsupermarkten;bag-96;winkelfunctie;Bedrijf 96;Supermarkten en dergelijke winkels met een algemeen assort.;4711;6;woz-96;Supermarkt/warenhuis;1063;5.466165368;51.44208643
97;Bedrijf 97;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-97;56101;Restaurants;bag-97;bijeenkomstfunctie;Bedrijf 97;Eventcatering;5621;4;woz-97;Cafe/bar/restaurant;180;5.466457472;51.46519371
98;Bedrijf 98;Type B;41, 42, 43.1;Bouwbedrijven algemeen: b.o. <= 2.000 m;kvk-98;42111;Wegenbouw;bag-98;kantoorfunctie;Bedrijf 98;Algemene burgerlijke en utiliteitsbouw;4120;7;woz-98;Kantoor;2642;5.467396161;51.43892084
99;Bedrijf 99;Type A;451, 452, 454;Handel in autos en motorfietsen, reparatie- en servicebedrijven;kvk-99;6420;Financiële holdings;bag-99;industriefunctie;Bedrijf 99;NA;NA;NA;woz-99;Autoshowroom+garage;8261;5.408997536;51.44255593
100;Bedrijf 100;Type B;493a;Bus-, tram- en metrostations en -remises;kvk-100;70102;Holdings (geen financiële);bag-100;kantoorfunctie;Bedrijf 100;Openbaar vervoer binnen steden;4931;9;woz-100;bedrijven;10262;5.46253218;51.42698009
101;Bedrijf 101;Type C;473.3;Benzineservisestations:- zonder LPG;kvk-101;4730;Benzinestations;bag-101;industriefunctie, overige gebruiksfunctie;Bedrijf 101;Benzinestations;4730;3;woz-101;Overige onroerende niet-woningen;0;5.442609364;51.47578503
102;Bedrijf 102;Type A;NA;NA;kvk-102;8230;Organiseren van congressen en beurzen;bag-102;kantoorfunctie;Bedrijf 102;NA;NA;NA;woz-102;Onbekend;0;5.401043176;51.4506959
103;Bedrijf 103;Type B;493b;Taxibedrijven, taxistandplaatsen;kvk-103;64303;Beleggingsinstellingen met beperkte toetreding;bag-103;kantoorfunctie;Bedrijf 103;Vervoer per taxi;4932;2;woz-103;opslag/distributie;1370;5.485224559;51.4763766
104;Bedrijf 104;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-104;NA;NA;bag-104;winkelfunctie;Bedrijf 104;Cafetarias, lunchrooms, snackbars, ijssalons, eetkramen e.d;56102;2;woz-104;Winkel;125;5.422801126;51.48583625
