id;mil_locationname;mil_type;mil_activity;mil_activitycode;kvk_businessnumber;kvk_activitycode;kvk_activity;bag_number;bag_usage;vest_name;vest_activity;vest_activitycode;vest_employeescode;woz_number;woz_usage;woz_size_normalized;longitude;latitude
216;Bedrijf 216;Type A;47.A;Detailhandel voor zover n.e.g.;kvk-216;47431;Winkels in audio- en videoapparatuur;bag-216;winkelfunctie;Bedrijf 216;Winkels in audio- en videoapparatuur;47431;5;woz-216;Winkel;804;5.480812063;51.43680722
217;Bedrijf 217;niet Wm;NA;NA;kvk-217;96022;Schoonheidsverzorging, pedicures en manicures;bag-217;bijeenkomstfunctie;Bedrijf 217;NA;NA;NA;woz-217;Winkel;223;5.440768393;51.48162882
218;Bedrijf 218;Type C;473.3;Benzineservisestations:- zonder LPG;kvk-218;9313;Fitnesscentra;bag-218;sportfunctie, winkelfunctie;Bedrijf 218;Benzinestations;4730;3;woz-218;Groothandel;2995;5.496514804;51.4362713
219;Bedrijf 219;Type B;14.2;laboratoria:- medisch en hoger onderwijs;kvk-219;32501;Tandtechnische bedrijven;bag-219;woonfunctie;Bedrijf 219;Tandtechnische bedrijven;32501;3;woz-219;Onbekend;0;5.447176996;51.43459294
220;Bedrijf 220;Type A;94991.A;Buurt- en clubhuizen;kvk-220;88993;Lokaal welzijnswerk;bag-220;gezondheidszorgfunctie;Bedrijf 220;NA;NA;NA;woz-220;maatschappelijke dienstverlening;0;5.492161305;51.42428664
221;Bedrijf 221;Type A;94991.A;Buurt- en clubhuizen;kvk-221;88993;Lokaal welzijnswerk;bag-221;gezondheidszorgfunctie;Bedrijf 221;NA;NA;NA;woz-221;wijk-/buurtcentrum;0;5.457374171;51.44881774
222;Bedrijf 222;Type A;852, 8531;Scholen voor basis- en algemeen voortgezet onderwijs;kvk-222;94997;Overige belangenbehartiging n.e.g.;bag-222;onderwijsfunctie;Bedrijf 222;Speciaal basisonderwijs;85202;6;woz-222;speciaal onderwijs;0;5.479439114;51.43769242
223;Bedrijf 223;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-223;47293;Winkels in buitenlandse voedingsmiddelen;bag-223;winkelfunctie;Bedrijf 223;Winkels in buitenlandse voedingsmiddelen;47293;5;woz-223;Supermarkt/warenhuis;717;5.486590484;51.44183594
224;Bedrijf 224;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-224;56101;Restaurants;bag-224;winkelfunctie;Bedrijf 224;Cafetarias, lunchrooms, snackbars, ijssalons, eetkramen e.d;56102;3;woz-224;Winkel;297;5.493787256;51.47693379
225;Bedrijf 225;Type B;4722, 4723;Detailhandel vlees, wild, gevogelte, met roken, koken, bakken;kvk-225;NA;NA;bag-225;winkelfunctie;Bedrijf 225;Winkels in vlees en vleeswaren;47221;3;woz-225;Winkel;438;5.493420174;51.45486007
